top_left_square,top_middle_square,top_right_square,middle_left_square,middle_middle_square,middle_right_square,bottom_left_square,bottom_middle_square,bottom_right_square,class,Id
x,o,x,o,x,b,x,o,b,0,128
x,o,x,o,x,b,b,o,x,0,131
x,o,x,o,o,x,b,b,x,0,133
x,o,x,o,b,x,b,o,x,0,135
x,o,x,b,x,o,x,o,b,0,136
x,o,x,b,x,o,x,b,o,0,137
x,o,x,b,x,o,b,o,x,0,139
x,o,x,b,x,b,x,o,o,0,140
x,o,x,b,b,x,o,o,x,0,143
x,o,o,x,x,x,o,x,o,0,145
x,o,o,x,x,x,o,o,x,0,146
x,o,o,x,x,x,o,b,b,0,147
x,o,o,x,x,x,b,b,o,0,149
x,o,o,x,x,o,x,b,b,0,151
x,o,o,x,x,o,o,x,x,0,152
x,o,o,x,x,b,o,b,x,0,156
x,o,o,x,o,x,x,b,b,0,159
x,o,o,x,o,b,x,b,x,0,162
x,o,o,x,b,o,x,b,x,0,166
x,o,o,x,b,b,x,b,b,0,169
x,o,o,o,x,x,x,o,x,0,170
x,o,o,o,x,x,o,x,x,0,171
x,o,o,o,x,x,b,b,x,0,172
x,o,o,o,x,b,x,b,x,0,174
x,o,o,o,x,b,b,x,x,0,175
x,o,o,o,b,b,x,x,x,0,177
x,o,o,b,x,x,o,b,x,0,178
x,o,o,b,x,x,b,o,x,0,179
x,o,o,b,x,o,b,x,x,0,181
x,o,o,b,x,b,o,x,x,0,183
x,o,o,b,b,o,x,x,x,0,186
x,o,b,x,x,x,o,o,b,0,187
x,o,b,x,x,x,b,o,o,0,189
x,o,b,x,x,o,o,b,x,0,192
x,o,b,x,x,o,b,o,x,0,193
x,o,b,x,x,b,x,o,o,0,194
x,o,b,x,o,x,x,b,o,0,196
x,o,b,x,o,o,x,x,b,0,197
x,o,b,x,o,o,x,b,x,0,198
x,o,b,x,b,o,x,o,x,0,203
x,o,b,x,b,o,x,b,b,0,204
x,o,b,o,x,x,o,b,x,0,207
x,o,b,o,x,b,x,o,x,0,211
x,o,b,o,x,b,o,x,x,0,212
x,o,b,o,x,b,b,b,x,0,213
x,o,b,o,o,b,x,x,x,0,214
x,o,b,b,x,x,o,o,x,0,216
x,o,b,b,x,b,o,b,x,0,220
x,o,b,b,x,b,b,o,x,0,221
x,o,b,b,o,o,x,x,x,0,222
x,b,x,x,o,o,x,o,b,0,223
x,b,x,x,o,o,x,b,o,0,224
x,b,x,x,o,b,x,o,o,0,225
x,b,x,x,b,o,x,o,o,0,226
x,b,x,o,x,o,x,o,b,0,227
x,b,x,o,x,o,x,b,o,0,228
x,b,x,o,x,o,b,o,x,0,230
x,b,x,o,x,b,x,o,o,0,231
x,b,x,o,o,x,b,o,x,0,234
x,b,x,o,b,x,o,o,x,0,235
x,b,x,b,x,o,x,o,o,0,236
x,b,x,b,x,o,o,o,x,0,237
x,b,x,b,o,x,o,o,x,0,238
x,b,o,x,x,x,o,b,o,0,240
x,b,o,x,x,x,b,o,o,0,241
x,b,o,x,x,o,x,o,b,0,242
x,b,o,x,x,o,o,b,x,0,243
x,b,o,x,x,b,x,o,o,0,245
x,b,o,x,o,x,x,o,b,0,247
x,b,o,x,o,x,x,b,o,0,248
x,b,o,x,o,o,x,x,b,0,249
x,b,o,x,o,b,x,x,o,0,251
x,b,o,x,o,b,x,o,x,0,252
x,b,o,x,o,b,x,b,b,0,253
x,b,o,x,b,x,x,o,o,0,254
x,b,o,x,b,o,x,o,x,0,255
x,b,o,x,b,o,x,b,b,0,256
x,b,o,x,b,b,x,o,b,0,257
x,b,o,x,b,b,x,b,o,0,258
x,b,o,o,x,x,o,b,x,0,259
x,b,o,o,x,x,b,o,x,0,260
x,b,o,o,x,o,x,b,x,0,261
x,b,o,o,x,o,b,x,x,0,262
x,b,o,o,x,b,x,o,x,0,263
x,b,o,o,x,b,o,x,x,0,264
x,b,o,o,x,b,b,b,x,0,265
x,b,o,o,o,b,x,x,x,0,266
x,b,o,o,b,o,x,x,x,0,267
x,b,o,b,x,o,x,o,x,0,269
x,b,o,b,x,o,b,b,x,0,271
x,b,o,b,x,b,o,b,x,0,272
x,b,o,b,x,b,b,o,x,0,273
x,b,b,x,x,o,x,o,o,0,275
x,b,b,x,x,o,o,o,x,0,276
x,b,b,x,o,x,x,o,o,0,277
x,b,b,x,o,o,x,x,o,0,278
x,b,b,x,o,o,x,o,x,0,279
x,b,b,x,o,o,x,b,b,0,280
x,b,b,x,o,b,x,o,b,0,281
x,b,b,x,b,o,x,o,b,0,283
x,b,b,x,b,o,x,b,o,0,284
x,b,b,x,b,b,x,o,o,0,285
x,b,b,o,x,o,o,x,x,0,288
x,b,b,o,x,o,b,b,x,0,289
x,b,b,o,x,b,o,b,x,0,290
x,b,b,o,x,b,b,o,x,0,291
x,b,b,b,x,o,o,b,x,0,292
x,b,b,b,x,o,b,o,x,0,293
o,x,x,x,x,o,x,o,o,0,295
o,x,x,x,x,o,o,x,o,0,296
o,x,x,x,o,x,o,o,x,0,297
o,x,x,o,x,x,x,o,o,0,298
o,x,x,o,x,o,x,o,x,0,300
o,x,x,o,x,o,x,b,b,0,301
o,x,x,o,x,o,b,x,b,0,302
o,x,x,o,x,b,x,b,o,0,304
o,x,x,o,x,b,b,x,o,0,305
o,x,x,o,b,x,b,o,x,0,308
o,x,x,b,x,o,b,x,o,0,312
o,x,x,b,x,b,x,o,o,0,313
o,x,x,b,x,b,o,x,o,0,314
o,x,x,b,o,x,o,b,x,0,315
o,x,x,b,o,x,b,o,x,0,316
o,x,x,b,b,x,o,o,x,0,317
o,x,o,x,x,x,x,o,o,0,318
o,x,o,x,x,x,o,x,o,0,319
o,x,o,x,x,x,o,o,x,0,320
o,x,o,x,x,x,o,b,b,0,321
o,x,o,x,x,x,b,o,b,0,322
o,x,o,x,x,x,b,b,o,0,323
o,x,o,x,x,o,o,x,x,0,324
o,x,o,x,x,b,o,x,b,0,326
o,x,o,x,x,b,b,x,o,0,327
o,x,o,o,x,x,x,x,o,0,329
o,x,o,o,x,x,b,x,b,0,330
o,x,o,o,x,b,b,x,x,0,333
o,x,o,o,o,x,x,x,x,0,334
o,x,o,o,b,b,x,x,x,0,335
o,x,o,b,x,b,x,x,o,0,340
o,x,o,b,x,b,b,x,b,0,342
o,x,o,b,o,b,x,x,x,0,343
o,x,o,b,b,o,x,x,x,0,344
o,x,b,x,x,x,o,o,b,0,345
o,x,b,x,x,x,b,o,o,0,347
o,x,b,x,x,o,b,x,o,0,349
o,x,b,x,x,b,o,x,o,0,350
o,x,b,o,x,x,b,x,o,0,351
o,x,b,o,x,o,x,x,b,0,352
o,x,b,o,x,o,b,x,x,0,353
o,x,b,o,x,b,x,x,o,0,354
o,x,b,o,o,b,x,x,x,0,356
o,x,b,b,x,x,o,x,o,0,358
o,x,b,b,x,o,x,x,o,0,359
o,x,b,b,x,o,o,x,x,0,360
o,x,b,b,x,b,b,x,o,0,363
o,x,b,b,o,o,x,x,x,0,364
o,o,x,x,x,x,x,o,o,0,365
o,o,x,x,x,x,o,o,x,0,367
o,o,x,x,x,x,b,o,b,0,369
o,o,x,x,x,x,b,b,o,0,370
o,o,x,x,x,o,x,x,o,0,371
o,o,x,x,x,o,x,o,x,0,372
o,o,x,x,x,b,x,o,b,0,374
o,o,x,x,x,b,x,b,o,0,375
o,o,x,x,o,x,o,x,x,0,376
o,o,x,x,o,x,b,b,x,0,377
o,o,x,x,o,o,x,x,x,0,378
o,o,x,x,b,x,o,b,x,0,379
o,o,x,x,b,x,b,o,x,0,380
o,o,x,o,x,x,x,x,o,0,381
o,o,x,o,x,x,x,o,x,0,382
o,o,x,o,x,x,x,b,b,0,383
o,o,x,o,x,x,b,b,x,0,384
o,o,x,o,x,b,x,x,b,0,386
o,o,x,o,o,x,x,x,x,0,388
o,o,x,o,b,x,x,b,x,0,389
o,o,x,o,b,x,b,x,x,0,390
o,o,x,o,b,b,x,x,x,0,391
o,o,x,b,x,x,x,o,b,0,392
o,o,x,b,x,x,x,b,o,0,393
o,o,x,b,x,x,o,b,x,0,394
o,o,x,b,x,o,x,b,x,0,397
o,o,x,b,x,b,x,x,o,0,398
o,o,x,b,x,b,x,o,x,0,399
o,o,x,b,x,b,x,b,b,0,400
o,o,x,b,o,x,x,b,x,0,401
o,o,x,b,o,x,b,x,x,0,402
o,o,x,b,b,x,x,o,x,0,404
o,o,x,b,b,o,x,x,x,0,407
o,o,b,x,x,x,x,b,o,0,409
o,o,b,x,x,x,o,x,b,0,410
o,o,b,x,x,x,o,b,x,0,411
o,o,b,x,x,x,b,b,b,0,414
o,o,b,x,o,b,x,x,x,0,415
o,o,b,x,b,o,x,x,x,0,416
o,o,b,o,b,x,x,x,x,0,418
o,b,x,x,x,x,o,o,b,0,422
o,b,x,x,x,x,b,o,o,0,424
o,b,x,x,x,o,x,o,b,0,425
o,b,x,x,x,o,x,b,o,0,426
o,b,x,x,x,b,x,o,o,0,427
o,b,x,x,o,x,o,b,x,0,428
o,b,x,x,o,x,b,o,x,0,429
o,b,x,x,b,x,o,o,x,0,430
o,b,x,o,x,o,x,b,x,0,435
o,b,x,o,x,b,x,x,o,0,436
o,b,x,o,x,b,x,o,x,0,437
o,b,x,o,x,b,x,b,b,0,438
o,b,x,o,o,x,x,b,x,0,439
o,b,x,o,o,x,b,x,x,0,440
o,b,x,o,o,b,x,x,x,0,441
o,b,x,o,b,x,x,o,x,0,442
o,b,x,o,b,x,b,b,x,0,443
o,b,x,o,b,o,x,x,x,0,444
o,b,x,b,x,x,x,o,o,0,445
o,b,x,b,x,x,o,o,x,0,446
o,b,x,b,x,o,x,x,o,0,447
o,b,x,b,x,o,x,o,x,0,448
o,b,x,b,x,o,x,b,b,0,449
o,b,x,b,x,b,x,o,b,0,450
o,b,x,b,x,b,x,b,o,0,451
o,b,x,b,o,x,b,b,x,0,454
o,b,x,b,o,o,x,x,x,0,455
o,b,x,b,b,x,o,b,x,0,456
o,b,x,b,b,x,b,o,x,0,457
o,b,o,x,x,x,o,b,x,0,461
o,b,o,x,x,x,b,o,x,0,463
o,b,o,x,o,b,x,x,x,0,465
o,b,o,x,b,o,x,x,x,0,466
o,b,o,o,x,b,x,x,x,0,467
o,b,o,b,x,o,x,x,x,0,469
o,b,o,b,o,x,x,x,x,0,470
o,b,o,b,b,b,x,x,x,0,471
o,b,b,x,x,x,o,x,o,0,473
o,b,b,x,x,x,o,o,x,0,474
o,b,b,x,x,x,o,b,b,0,475
o,b,b,x,x,x,b,o,b,0,476
o,b,b,x,x,x,b,b,o,0,477
o,b,b,x,o,o,x,x,x,0,478
o,b,b,o,x,o,x,x,x,0,479
o,b,b,b,o,b,x,x,x,0,482
b,x,x,o,x,o,x,o,b,0,484
b,x,x,o,x,o,o,x,b,0,486
b,x,x,o,x,o,b,x,o,0,487
b,x,x,o,x,b,x,o,o,0,488
b,x,x,o,x,b,o,x,o,0,489
b,x,x,o,o,x,b,o,x,0,491
b,x,x,o,b,x,o,o,x,0,492
b,x,x,b,x,o,x,o,o,0,493
b,x,x,b,x,o,o,x,o,0,494
b,x,o,x,x,x,o,o,b,0,496
b,x,o,x,x,b,o,x,o,0,500
b,x,o,o,x,x,b,x,o,0,502
b,x,o,o,x,b,o,x,x,0,506
b,x,o,o,x,b,b,x,b,0,507
b,x,o,o,o,b,x,x,x,0,508
b,x,o,o,b,o,x,x,x,0,509
b,x,o,b,x,x,o,x,o,0,510
b,x,o,b,x,o,o,x,x,0,511
b,x,o,b,x,o,b,x,b,0,512
b,x,o,b,x,b,o,x,b,0,513
b,x,b,x,x,o,o,x,o,0,516
b,x,b,o,x,x,o,x,o,0,517
b,x,b,o,x,o,o,x,x,0,519
b,x,b,o,x,o,b,x,b,0,520
b,x,b,o,x,b,o,x,b,0,521
b,x,b,o,x,b,b,x,o,0,522
b,x,b,b,x,o,o,x,b,0,523
b,o,x,x,x,x,o,o,b,0,526
b,o,x,x,x,x,o,b,o,0,527
b,o,x,x,x,x,b,o,o,0,528
b,o,x,x,x,o,x,o,b,0,529
b,o,x,x,x,b,x,o,o,0,531
b,o,x,x,o,x,o,b,x,0,532
b,o,x,o,x,x,x,b,o,0,535
b,o,x,o,x,x,o,b,x,0,536
b,o,x,o,x,o,x,x,b,0,538
b,o,x,o,x,o,x,b,x,0,539
b,o,x,o,x,b,x,o,x,0,541
b,o,x,o,x,b,x,b,b,0,542
b,o,x,o,o,x,x,b,x,0,543
b,o,x,o,o,b,x,x,x,0,545
b,o,x,o,b,x,x,o,x,0,546
b,o,x,o,b,x,o,x,x,0,547
b,o,x,o,b,x,b,b,x,0,548
b,o,x,o,b,o,x,x,x,0,549
b,o,x,b,x,x,x,o,o,0,550
b,o,x,b,x,o,x,x,o,0,552
b,o,x,b,x,o,x,b,b,0,554
b,o,x,b,x,b,x,o,b,0,555
b,o,x,b,x,b,x,b,o,0,556
b,o,x,b,o,x,o,x,x,0,557
b,o,x,b,o,x,b,b,x,0,558
b,o,x,b,o,o,x,x,x,0,559
b,o,o,x,x,x,x,o,b,0,562
b,o,o,x,x,x,x,b,o,0,563
b,o,o,x,x,x,o,x,b,0,564
b,o,o,x,x,x,b,x,o,0,566
b,o,o,x,x,x,b,b,b,0,568
b,o,o,x,b,o,x,x,x,0,570
b,o,o,o,b,x,x,x,x,0,572
b,o,o,b,x,o,x,x,x,0,573
b,o,o,b,b,b,x,x,x,0,575
b,o,b,x,x,x,x,o,o,0,576
b,o,b,x,x,x,o,x,o,0,577
b,o,b,x,x,x,o,o,x,0,578
b,o,b,x,x,x,o,b,b,0,579
b,o,b,x,x,x,b,o,b,0,580
b,o,b,x,x,x,b,b,o,0,581
b,o,b,x,o,o,x,x,x,0,582
b,o,b,o,b,b,x,x,x,0,585
b,o,b,b,o,b,x,x,x,0,586
b,o,b,b,b,o,x,x,x,0,587
b,b,x,x,x,o,x,o,o,0,588
b,b,x,x,o,x,o,o,x,0,589
b,b,x,o,x,x,o,o,x,0,591
b,b,x,o,x,o,x,x,o,0,592
b,b,x,o,x,b,x,o,b,0,595
b,b,x,o,x,b,x,b,o,0,596
b,b,x,o,o,x,x,o,x,0,597
b,b,x,o,o,x,o,x,x,0,598
b,b,x,o,b,x,o,b,x,0,600
b,b,x,o,b,x,b,o,x,0,601
b,b,x,b,x,o,x,o,b,0,602
b,b,x,b,x,o,x,b,o,0,603
b,b,x,b,x,b,x,o,o,0,604
b,b,x,b,o,x,o,b,x,0,605
b,b,x,b,o,x,b,o,x,0,606
b,b,x,b,b,x,o,o,x,0,607
b,b,o,x,x,x,o,x,o,0,609
b,b,o,x,x,x,o,o,x,0,610
b,b,o,x,x,x,o,b,b,0,611
b,b,o,x,x,x,b,o,b,0,612
b,b,o,x,x,x,b,b,o,0,613
b,b,o,o,x,o,x,x,x,0,615
b,b,o,o,b,b,x,x,x,0,617
b,b,o,b,o,b,x,x,x,0,618
b,b,o,b,b,o,x,x,x,0,619
b,b,b,x,x,x,o,b,o,0,621
b,b,b,o,o,b,x,x,x,0,623
b,b,b,o,b,o,x,x,x,0,624
b,b,b,b,o,o,x,x,x,0,625
x,x,o,x,x,b,o,o,o,1,628
x,x,o,x,o,x,o,o,b,1,629
x,x,o,x,o,o,o,x,b,1,631
x,x,o,x,o,o,o,b,x,1,632
x,x,o,x,o,b,o,x,o,1,634
x,x,o,x,o,b,o,o,x,1,635
x,x,o,x,o,b,o,b,b,1,636
x,x,o,x,b,x,o,o,o,1,637
x,x,o,x,b,o,o,x,o,1,638
x,x,o,x,b,o,b,b,o,1,639
x,x,o,o,o,x,o,x,b,1,641
x,x,o,o,o,x,o,b,x,1,642
x,x,o,o,o,o,x,x,b,1,643
x,x,o,o,o,o,b,x,x,1,645
x,x,o,o,o,b,o,x,x,1,646
x,x,o,o,b,o,x,x,o,1,647
x,x,o,b,x,o,x,o,o,1,649
x,x,o,b,x,o,b,b,o,1,650
x,x,o,b,o,x,o,x,o,1,651
x,x,o,b,o,x,o,o,x,1,652
x,x,o,b,o,b,o,x,b,1,656
x,x,o,b,o,b,o,b,x,1,657
x,x,o,b,b,o,x,b,o,1,658
x,x,o,b,b,o,b,x,o,1,659
x,x,b,x,x,o,o,o,o,1,660
x,x,b,x,o,x,o,o,o,1,661
x,x,b,x,b,b,o,o,o,1,662
x,x,b,o,o,o,x,x,o,1,664
x,x,b,o,o,o,x,o,x,1,665
x,x,b,o,o,o,o,x,x,1,667
x,x,b,o,o,o,b,x,b,1,668
x,x,b,o,o,o,b,b,x,1,669
x,x,b,b,x,b,o,o,o,1,670
x,x,b,b,b,x,o,o,o,1,671
x,o,x,x,x,b,o,o,o,1,672
x,o,x,x,o,x,b,o,o,1,674
x,o,x,x,o,o,b,o,x,1,675
x,o,x,x,o,b,b,o,b,1,677
x,o,x,x,b,x,o,o,o,1,678
x,o,x,o,o,o,b,x,x,1,682
x,o,x,o,o,b,x,o,x,1,683
x,o,x,b,x,x,o,o,o,1,684
x,o,x,b,o,x,x,o,o,1,685
x,o,x,b,o,o,x,o,x,1,687
x,o,x,b,o,b,x,o,b,1,688
x,o,x,b,o,b,b,o,x,1,689
x,o,o,x,x,o,b,x,o,1,690
x,o,o,x,o,x,o,b,x,1,692
x,o,o,x,o,x,b,o,x,1,693
x,o,o,b,o,x,x,o,x,1,696
x,o,o,b,o,x,o,x,x,1,697
x,o,b,x,o,x,o,o,x,1,698
x,o,b,x,o,x,b,o,b,1,699
x,o,b,x,o,b,b,o,x,1,700
x,o,b,o,o,x,x,o,x,1,701
x,o,b,b,o,x,x,o,b,1,702
x,o,b,b,o,x,b,o,x,1,703
x,o,b,b,o,b,x,o,x,1,704
x,b,x,x,x,o,o,o,o,1,705
x,b,x,x,o,x,o,o,o,1,706
x,b,x,x,b,b,o,o,o,1,707
x,b,x,o,x,x,o,o,o,1,708
x,b,x,o,o,o,x,o,x,1,710
x,b,x,o,o,o,x,b,b,1,711
x,b,x,o,o,o,o,x,x,1,712
x,b,x,o,o,o,b,x,b,1,713
x,b,x,o,o,o,b,b,x,1,714
x,b,x,b,x,b,o,o,o,1,715
x,b,o,x,x,o,o,x,o,1,717
x,b,o,x,x,o,b,b,o,1,718
x,b,o,x,o,x,o,o,x,1,720
x,b,o,x,o,x,o,b,b,1,721
x,b,o,x,o,o,o,x,x,1,722
x,b,o,x,o,b,o,x,b,1,723
x,b,o,x,o,b,o,b,x,1,724
x,b,o,x,b,o,b,x,o,1,725
x,b,o,o,o,x,o,x,x,1,727
x,b,o,b,x,o,x,b,o,1,728
x,b,o,b,x,o,b,x,o,1,729
x,b,o,b,o,b,o,x,x,1,732
x,b,o,b,b,o,x,x,o,1,733
x,b,b,x,x,b,o,o,o,1,734
x,b,b,o,o,o,x,x,b,1,736
x,b,b,o,o,o,x,b,x,1,737
x,b,b,o,o,o,b,x,x,1,738
o,x,x,x,o,x,o,b,o,1,741
o,x,x,x,o,x,b,o,o,1,742
o,x,x,x,o,o,x,b,o,1,743
o,x,x,x,o,o,b,x,o,1,744
o,x,x,x,o,b,x,o,o,1,745
o,x,x,x,o,b,o,x,o,1,746
o,x,x,x,o,b,b,b,o,1,747
o,x,x,x,b,x,o,o,o,1,748
o,x,x,o,x,x,o,o,b,1,749
o,x,x,o,x,x,o,b,o,1,750
o,x,x,o,x,o,o,b,x,1,751
o,x,x,o,x,b,o,o,x,1,752
o,x,x,o,x,b,o,b,b,1,753
o,x,x,o,o,x,b,x,o,1,756
o,x,x,o,o,o,b,x,x,1,759
o,x,x,o,o,b,o,x,x,1,761
o,x,x,o,b,o,o,x,x,1,764
o,x,x,o,b,b,o,x,b,1,765
o,x,x,o,b,b,o,b,x,1,766
o,x,x,b,x,x,o,o,o,1,767
o,x,x,b,o,x,x,o,o,1,768
o,x,x,b,o,x,o,x,o,1,769
o,x,x,b,o,x,b,b,o,1,770
o,x,x,b,o,o,x,x,o,1,771
o,x,x,b,o,b,x,b,o,1,772
o,x,x,b,o,b,b,x,o,1,773
o,x,o,x,x,o,x,b,o,1,774
o,x,o,x,o,x,x,b,o,1,775
o,x,o,x,o,x,o,x,b,1,776
o,x,o,x,o,x,o,b,x,1,777
o,x,o,x,o,b,x,x,o,1,779
o,x,o,x,o,b,o,x,x,1,780
o,x,b,x,o,x,x,o,o,1,786
o,x,b,x,o,x,b,b,o,1,788
o,x,b,x,o,b,x,b,o,1,790
o,x,b,x,o,b,b,x,o,1,791
o,x,b,o,x,x,o,o,x,1,792
o,x,b,o,x,b,o,b,x,1,794
o,x,b,o,o,x,x,x,o,1,795
o,x,b,o,o,x,o,x,x,1,796
o,x,b,o,b,x,o,x,b,1,797
o,x,b,o,b,x,o,b,x,1,798
o,x,b,b,o,x,x,b,o,1,800
o,o,x,x,o,x,x,b,o,1,804
o,o,x,x,o,b,x,x,o,1,806
o,o,x,x,o,b,x,o,x,1,807
o,o,x,o,x,x,o,x,b,1,808
o,o,x,o,x,b,o,x,x,1,809
o,o,x,b,o,x,x,x,o,1,810
o,o,o,x,x,o,x,x,b,1,811
o,o,o,x,x,b,x,x,o,1,814
o,o,o,x,x,b,x,o,x,1,815
o,o,o,x,x,b,x,b,b,1,816
o,o,o,x,x,b,o,x,x,1,817
o,o,o,x,o,x,x,b,x,1,821
o,o,o,x,o,x,b,x,x,1,822
o,o,o,x,b,x,x,x,o,1,823
o,o,o,x,b,x,x,b,b,1,825
o,o,o,x,b,x,o,x,x,1,826
o,o,o,x,b,x,b,b,x,1,828
o,o,o,x,b,b,x,x,b,1,829
o,o,o,x,b,b,b,x,x,1,831
o,o,o,o,x,x,x,b,x,1,833
o,o,o,b,x,x,x,x,o,1,835
o,o,o,b,x,x,x,o,x,1,836
o,o,o,b,x,x,b,x,b,1,839
o,o,o,b,x,x,b,b,x,1,840
o,o,o,b,x,b,x,x,b,1,841
o,o,o,b,x,b,x,b,x,1,842
o,o,o,b,x,b,b,x,x,1,843
o,o,o,b,b,x,x,x,b,1,844
o,o,o,b,b,x,x,b,x,1,845
o,o,o,b,b,x,b,x,x,1,846
o,b,x,x,o,x,x,o,o,1,850
o,b,x,x,o,x,o,x,o,1,851
o,b,x,x,o,x,b,b,o,1,852
o,b,x,x,o,o,x,x,o,1,853
o,b,x,x,o,b,x,b,o,1,854
o,b,x,x,o,b,b,x,o,1,855
o,b,x,o,x,x,o,x,o,1,856
o,b,x,o,x,x,o,b,b,1,857
o,b,x,o,x,o,o,x,x,1,858
o,b,x,o,x,b,o,x,b,1,859
o,b,x,o,o,x,x,x,o,1,861
o,b,x,o,b,x,o,x,b,1,862
o,b,x,o,b,b,o,x,x,1,863
o,b,x,b,o,b,x,x,o,1,866
o,b,o,x,x,o,x,x,o,1,867
o,b,o,x,o,x,x,x,o,1,868
o,b,b,x,o,x,x,b,o,1,871
o,b,b,x,o,x,b,x,o,1,872
o,b,b,x,o,b,x,x,o,1,873
o,b,b,o,x,x,o,b,x,1,875
o,b,b,o,x,b,o,x,x,1,876
o,b,b,o,b,x,o,x,x,1,877
o,b,b,b,o,x,x,x,o,1,878
b,x,x,x,x,o,o,o,o,1,879
b,x,x,x,o,x,o,o,o,1,880
b,x,x,x,b,b,o,o,o,1,881
b,x,x,o,o,o,x,x,o,1,883
b,x,x,o,o,o,x,o,x,1,884
b,x,x,o,o,o,o,x,x,1,886
b,x,x,o,o,o,b,b,x,1,888
b,x,x,b,x,b,o,o,o,1,889
b,x,x,b,b,x,o,o,o,1,890
b,x,o,x,x,o,x,o,o,1,891
b,x,o,x,x,o,b,b,o,1,892
b,x,o,x,o,x,o,x,o,1,893
b,x,o,x,o,x,o,o,x,1,894
b,x,o,x,o,o,x,x,o,1,896
b,x,o,x,o,o,o,x,x,1,897
b,x,o,x,o,b,o,x,b,1,898
b,x,o,x,o,b,o,b,x,1,899
b,x,o,x,b,o,b,x,o,1,901
b,x,o,o,o,x,o,x,x,1,902
b,x,o,b,x,o,x,b,o,1,903
b,x,o,b,o,x,o,b,x,1,905
